Symbol,Total Size,Open Price,Close Price,Realized PnL,PnL with Fees,Open Datetime,Close Datetime,Cumulative PnL,Individual PnL,Total Fees
ETH/USDT:USDT,0.3,2501.9073333333336,2499.15,0.10645923828630677,-0.5935754817136931,2024-10-23T19:29:25.993000Z,2024-10-23T19:31:33.805000Z,0.10645923828630677,0.8272000000000389,0.7000347199999999
ETH/USDT:USDT,0.14,2537.3099999999995,2533.82,0.21486367999990583,-0.06902188000009421,2024-10-24T19:59:43.635000Z,2024-10-24T20:06:06.066000Z,0.21486367999990583,0.48859999999990583,0.28388556000000004
DOGE/USDT:USDT,5525.0,0.12641692307692304,0.12683,1.8323648291559538,1.1432647791559538,2024-10-16T13:33:06.391000Z,2024-10-16T13:35:09.266000Z,1.8323648291559538,0.7121446153846798,0.68910005
SOL/USDT:USDT,5.4,152.84662962962966,152.748,-1.064301821582539,-1.748762101582539,2024-10-15T21:00:36.765000Z,2024-10-15T21:08:33.128000Z,-1.064301821582539,-0.4635592592594492,0.6844602799999999
SOL/USDT:USDT,0.6,151.21233333333333,151.626,-0.31654874666666794,-0.38927958666666795,2024-10-17T14:47:35.347000Z,2024-10-17T14:50:46.359000Z,-0.31654874666666794,-0.24820000000000275,0.07273083999999999
SOL/USDT:USDT,2.7,151.8621851851852,151.849,-0.2773695151392388,-0.6053512751392388,2024-10-17T14:57:06.743000Z,2024-10-17T15:01:56.927000Z,-0.2773695151392388,0.032962962963054565,0.32798176
SOL/USDT:USDT,1.8,162.67166666666668,162.96,0.30272261999999844,0.06816401999999844,2024-10-21T13:56:26.288000Z,2024-10-21T14:04:06.407000Z,0.30272261999999844,0.5189999999999885,0.2345586
SOL/USDT:USDT,1.2,172.74325,172.704,-0.19196495999998894,-0.3577702199999889,2024-10-23T21:12:15.600000Z,2024-10-23T21:16:43.451000Z,-0.19196495999998894,-0.047099999999977625,0.16580526
SOL/USDT:USDT,0.3,160.404,163.292,0.8370074400000016,0.7979906400000016,2024-10-25T23:24:48.930000Z,2024-10-25T23:33:27.479000Z,0.8370074400000016,0.28880000000000056,0.039016800000000004
RUNE/USDT:USDT,90.7,5.173,5.021,1.922206780000002,1.3604989000000018,2024-10-25T08:02:45.849000Z,2024-10-26T11:06:46.031000Z,1.922206780000002,0.030400000000000028,0.56170788
SUI/USDT:USDT,990.9,1.9143786961348275,1.9241,13.224062682590546,11.643610492590545,2024-10-23T15:37:47.744000Z,2024-10-23T15:51:13.198000Z,13.224062682590546,0.17595559995962132,1.5804521900000006
JUP/USDT:USDT,830.0,0.9928748192771084,1.0375,13.273829946952745,12.276178566952744,2024-10-23T18:05:24.820000Z,2024-10-23T19:29:00.236000Z,13.273829946952745,2.2758842168674756,0.9976513800000001
JUP/USDT:USDT,47.0,1.0628,1.0686,0.2424654800000013,0.1823600000000013,2024-10-23T21:11:53.207000Z,2024-10-23T21:16:51.813000Z,0.2424654800000013,0.2726000000000013,0.06010548
JUP/USDT:USDT,188.0,1.0435,1.0401,0.45321442000001305,0.25741994000001306,2024-10-24T21:24:38.802000Z,2024-10-24T21:29:14.908000Z,0.45321442000001305,0.6392000000000131,0.19579448
WIF/USDT:USDT,150.0,2.7401199999999992,2.7337,0.8393465716945985,0.5002159816945985,2024-10-20T22:54:27.083000Z,2024-10-20T22:59:23.193000Z,0.8393465716945985,0.5777999999999484,0.33913059
ENA/USDT:USDT,1936.0,0.4124374999999998,0.4118,0.29198051250273666,-0.3258938874972634,2024-10-16T10:27:22.048000Z,2024-10-16T10:31:44.781000Z,0.29198051250273666,0.686587499999775,0.6178744
ENA/USDT:USDT,2178.0,0.40955555555555545,0.4101,-2.181562574753057,-3.133745454753057,2024-10-16T11:20:08.569000Z,2024-10-16T11:23:57.579000Z,-2.181562574753057,-1.1858000000002724,0.9521828800000001
ENA/USDT:USDT,2541.0,0.4141619047619048,0.4122,4.624305232604167,3.6251124126041665,2024-10-16T11:34:13.945000Z,2024-10-16T11:35:57.912000Z,4.624305232604167,1.0339238095238168,0.9991928200000001
ENA/USDT:USDT,1936.0,0.41487500000000005,0.4162,-4.373191227643375,-5.298381427643375,2024-10-16T11:48:09.974000Z,2024-10-16T11:50:47.205000Z,-4.373191227643375,-2.549299999999933,0.9251902000000001
POPCAT/USDT:USDT,423.0,1.246247281323877,1.2438,-1.440932307612248,-2.0729063076122483,2024-10-17T10:36:20.147000Z,2024-10-17T10:43:58.339000Z,-1.440932307612248,-1.0351999999999493,0.631974
POPCAT/USDT:USDT,1131.0,1.2983244031830246,1.3027,3.9959825605404835,2.9397808405404837,2024-10-17T14:09:06.649000Z,2024-10-17T14:13:49.851000Z,3.9959825605404835,0.3894281167108118,1.0562017199999998
